sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
73,ADA-P1-08-03,Project 1 — Dungeon Walk,Compute Instead of Mutate,Predict,Compute Instead of Mutate — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,Predict the exact behavior if the implementation encounters this problem: Functions unexpectedly changing shared state or returning unconstrained values without validation.,Core calculations can be tested without running the game loop.
74,ADA-P1-08-04,Project 1 — Dungeon Walk,Compute Instead of Mutate,Implement,Compute Instead of Mutate — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Implement the core milestone in the existing dungeon_walk crate: Implement functions for next position, normalized angle, tile lookup, and command parsing.",Core calculations can be tested without running the game loop.
75,ADA-P1-08-05,Project 1 — Dungeon Walk,Compute Instead of Mutate,Extend,Compute Instead of Mutate — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,Extend the completed milestone with this practical variation: Add pure functions for Manhattan and Euclidean distance.,Core calculations can be tested without running the game loop.
76,ADA-P1-08-06,Project 1 — Dungeon Walk,Compute Instead of Mutate,Test,Compute Instead of Mutate — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Implement functions for next position, normalized angle, tile lookup, and command parsing.",Core calculations can be tested without running the game loop.
77,ADA-P1-08-07,Project 1 — Dungeon Walk,Compute Instead of Mutate,Repair,Compute Instead of Mutate — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,Reproduce and repair this defect class in the current project: Functions unexpectedly changing shared state or returning unconstrained values without validation.,Core calculations can be tested without running the game loop.
78,ADA-P1-08-08,Project 1 — Dungeon Walk,Compute Instead of Mutate,Refactor,Compute Instead of Mutate — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Refactor the chapter implementation so Functions, return types, expression functions, and purity is clearer without changing behavior.",Core calculations can be tested without running the game loop.
79,ADA-P1-08-09,Project 1 — Dungeon Walk,Compute Instead of Mutate,Integrate,Compute Instead of Mutate — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Implement functions for next position, normalized angle, tile lookup, and command parsing.",Core calculations can be tested without running the game loop.
80,ADA-P1-08-10,Project 1 — Dungeon Walk,Compute Instead of Mutate,Review,Compute Instead of Mutate — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_math.ads; src/dungeon_math.adb; src/command_parser.adb,Perform a senior-style checkpoint review of Compute Instead of Mutate in Dungeon Walk.,Core calculations can be tested without running the game loop.
81,ADA-P1-09-01,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Question,Separate the Dungeon into Packages — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Answer one focused question before editing code: How should Package specifications, bodies, visibility, with, and use type be used to accomplish this milestone: Create clear packages for types, maps, player state, math, input, rendering, and the game loop.",The main procedure reads as orchestration rather than implementation.
82,ADA-P1-09-02,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Code Reading,Separate the Dungeon into Packages — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Read the current implementation around src/dungeon_types.ads, src/maps.ads, src/player.ads, src/renderer.ads. Trace how data enters, changes, and leaves the code for this milestone: Create clear packages for types, maps, player state, math, input, rendering, and the game loop.",The main procedure reads as orchestration rather than implementation.
83,ADA-P1-09-03,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Predict,Separate the Dungeon into Packages — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,Predict the exact behavior if the implementation encounters this problem: Circular dependencies or placing every declaration in one giant package.,The main procedure reads as orchestration rather than implementation.
84,ADA-P1-09-04,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Implement,Separate the Dungeon into Packages — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Implement the core milestone in the existing dungeon_walk crate: Create clear packages for types, maps, player state, math, input, rendering, and the game loop.",The main procedure reads as orchestration rather than implementation.
85,ADA-P1-09-05,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Extend,Separate the Dungeon into Packages — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,Extend the completed milestone with this practical variation: Hide implementation details behind private types where appropriate.,The main procedure reads as orchestration rather than implementation.
86,ADA-P1-09-06,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Test,Separate the Dungeon into Packages — Test,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Create automated or repeatable tests that prove the milestone and its boundaries: Create clear packages for types, maps, player state, math, input, rendering, and the game loop.",The main procedure reads as orchestration rather than implementation.
87,ADA-P1-09-07,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Repair,Separate the Dungeon into Packages — Repair,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,Reproduce and repair this defect class in the current project: Circular dependencies or placing every declaration in one giant package.,The main procedure reads as orchestration rather than implementation.
88,ADA-P1-09-08,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Refactor,Separate the Dungeon into Packages — Refactor,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Refactor the chapter implementation so Package specifications, bodies, visibility, with, and use type is clearer without changing behavior.",The main procedure reads as orchestration rather than implementation.
89,ADA-P1-09-09,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Integrate,Separate the Dungeon into Packages — Integrate,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Create clear packages for types, maps, player state, math, input, rendering, and the game loop.",The main procedure reads as orchestration rather than implementation.
90,ADA-P1-09-10,Project 1 — Dungeon Walk,Separate the Dungeon into Packages,Review,Separate the Dungeon into Packages — Review,~/Documents/src/projects/ada-mastery/dungeon_walk,src/dungeon_types.ads; src/maps.ads; src/player.ads; src/renderer.ads,Perform a senior-style checkpoint review of Separate the Dungeon into Packages in Dungeon Walk.,The main procedure reads as orchestration rather than implementation.
91,ADA-P1-10-01,Project 1 — Dungeon Walk,Represent the Player and Camera,Question,Represent the Player and Camera — Question,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player.ads; src/player.adb; src/dungeon_types.ads,"Answer one focused question before editing code: How should Records, aggregates, defaults, and nested records be used to accomplish this milestone: Replace loose variables with Player_State, Camera_State, and Position records.",Player state is initialized with named aggregates and passed as one coherent value.
92,ADA-P1-10-02,Project 1 — Dungeon Walk,Represent the Player and Camera,Code Reading,Represent the Player and Camera — Code Reading,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player.ads; src/player.adb; src/dungeon_types.ads,"Read the current implementation around src/player.ads, src/player.adb, src/dungeon_types.ads. Trace how data enters, changes, and leaves the code for this milestone: Replace loose variables with Player_State, Camera_State, and Position records.",Player state is initialized with named aggregates and passed as one coherent value.
93,ADA-P1-10-03,Project 1 — Dungeon Walk,Represent the Player and Camera,Predict,Represent the Player and Camera — Predict,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player.ads; src/player.adb; src/dungeon_types.ads,Predict the exact behavior if the implementation encounters this problem: Partially initialized records or duplicated coordinate fields that drift apart.,Player state is initialized with named aggregates and passed as one coherent value.
94,ADA-P1-10-04,Project 1 — Dungeon Walk,Represent the Player and Camera,Implement,Represent the Player and Camera — Implement,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player.ads; src/player.adb; src/dungeon_types.ads,"Implement the core milestone in the existing dungeon_walk crate: Replace loose variables with Player_State, Camera_State, and Position records.",Player state is initialized with named aggregates and passed as one coherent value.
95,ADA-P1-10-05,Project 1 — Dungeon Walk,Represent the Player and Camera,Extend,Represent the Player and Camera — Extend,~/Documents/src/projects/ada-mastery/dungeon_walk,src/player.ads; src/player.adb; src/dungeon_types.ads,Extend the completed milestone with this practical variation: Add inventory and health records without coupling them to rendering.,Player state is initialized with named aggregates and passed as one coherent value.
